ID,p_Action,p_Adventure,p_Animation,p_Biography,p_Comedy,p_Crime,p_Documentary,p_Drama,p_Family,p_Fantasy,p_Film-Noir,p_History,p_Horror,p_Music,p_Musical,p_Mystery,p_News,p_Romance,p_Sci-Fi,p_Short,p_Sport,p_Thriller,p_War,p_Western
1,0.0300524152,0.055873223250000006,0.03295219840000001,0.054586846450000004,0.343010864,0.11472399619999998,0.014049406895000002,0.7961875015,0.12009301594999999,0.44593505749999995,0.16082643775,0.0380247452,0.098989633,0.045897320225,0.10578996755,0.44178933949999993,0.013741368575,0.881758709,0.0550005711,0.03736362775,0.014162080445000001,0.2935462625,0.0378350219,0.028235851750000006
4,0.489838601,0.09854513300000001,0.02291292434,0.7905049500000001,0.09132584065,0.764154166,0.1265937655,0.88546634,0.043114442100000004,0.019857057625,0.2038521971,0.5351343550000001,0.03672665705,0.07842893349999999,0.04811476624,0.15886006584999998,0.034286889115000004,0.3223463965,0.028015802480000004,0.06312385414999999,0.09097639125000001,0.5125608165,0.35575951409999995,0.15593108275
5,0.2499469225,0.04722384955,0.017898327050000003,0.24405559,0.0591912888,0.882835686,0.057743120099999996,0.8196065410000001,0.02434244785,0.033267880550000004,0.6770813414999999,0.19480071399999999,0.168861425,0.03542012245,0.02204749715,0.769407505,0.023994061200000003,0.207770977,0.038835310325,0.02949473095,0.03501667628,0.8727687500000001,0.06399404495,0.0362820247
6,0.6431377250000001,0.4765637425,0.019980041249999997,0.06961589355,0.1059329876,0.3266895055,0.016355925,0.7723857945,0.04743353351000001,0.07716528246,0.14871416040000002,0.21366126075,0.07325740929999999,0.02633263903,0.04292850235,0.324414796,0.017805314475,0.319143993,0.11666161775,0.042595292825,0.01910867145,0.8404670525000001,0.547749898,0.082061554555
7,0.13076460480000002,0.10405414945,0.035327295550000005,0.064472936,0.2009701255,0.1291010789,0.0434246873,0.19127362400000003,0.053749600700000004,0.4912826695,0.04451793355,0.061523937,0.953934821,0.040205015000000004,0.0649053187,0.6231016165000001,0.022038595209999998,0.159653337,0.607546046,0.079917459,0.035923140400000005,0.7382809615,0.034911287900000004,0.0308550214
9,0.428997409,0.5804206534999999,0.058505841899999994,0.874022705,0.08267205570000001,0.14522359,0.12038704549999998,0.8180944025,0.148106235,0.21924331249999998,0.0618658564,0.885876895,0.0864744737,0.0491493744,0.0881092854,0.20959035960000003,0.05460459075,0.4721293725,0.0643066962,0.1255391525,0.1149140017,0.21568738125,0.6728425484999999,0.10724894425
11,0.091420745,0.08326958275,0.088799114,0.748852504,0.28355452999999997,0.184538666,0.951275801,0.34144174550000006,0.04997518075,0.056327459950000006,0.03517305155,0.41493063399999996,0.060843063249999996,0.8934668604999999,0.100811364,0.11334975825,0.07470291155,0.16425167050000003,0.0453567469,0.148039971,0.11145343299999999,0.06399308449999999,0.0628866394,0.051321026400000004
13,0.7833543359999999,0.0992018587,0.01461286724,0.08542137624999999,0.39238551099999996,0.907668945,0.03036152115,0.721904094,0.03892570555,0.021992125015,0.18246593755,0.0512356782,0.0343410244,0.04511858975,0.021470917965,0.17149200700000003,0.024873707895,0.1262025905,0.0249019578,0.0442761121,0.02938791895,0.744351525,0.06564730325000001,0.0461328994
16,0.051822566895,0.023911647255,0.011787944554999999,0.0484815423,0.3980151365,0.269451335,0.0215979666,0.892640274,0.02227141103,0.028029296590000002,0.208344315,0.0230325876,0.092216934095,0.05057467365,0.02133268463,0.16154151549999998,0.010678229484500002,0.7611200809999998,0.024011003745,0.0184837845835,0.020225296385,0.381272033,0.025012382505,0.017244370825
21,0.026734296810000002,0.0402082412,0.021729115705000003,0.033898246725,0.901370983,0.1106249709,0.0374467052,0.5505074980000001,0.07745982400000001,0.046294348975,0.015322764035000002,0.020961880625,0.027876097145,0.09182729835,0.0388479335,0.034493914390000005,0.010620232370000001,0.6943667755,0.023687448355,0.025050131935,0.034881556475000006,0.03865480465,0.019592188450000003,0.02172162451
22,0.283750829,0.4684142185,0.17802877165,0.04495220525,0.3967109635,0.0478803926,0.016304418745,0.3293782245,0.40164633949999995,0.93063847,0.028926387050000002,0.04927325875,0.5351150895000001,0.03451440235,0.22860227400000002,0.415299451,0.01703274375,0.6784015435000001,0.3225377745,0.040082672625,0.026939894850000003,0.2252013965,0.03985689265,0.04183576405
